calendar_yearmonth,Year_Name,Month_Name,SAID,number_of_Cases,number_of_escalation,number_of_parts_used,number_of_single_visit_missed,number_of_response_missed
201208,2012,8,102340198754,2,0,2,0,0
201205,2012,5,102439484874,2,0,0,0,0
201112,2011,12,102439484874,1,0,1,0,0
201111,2011,11,102439484874,100,0,0,0,0
201204,2012,4,102439484874,1,0,0,0,0
201207,2012,7,102390308706,1,0,1,0,0
201111,2011,11,102390933404,2,0,0,0,0
201202,2012,2,102390308706,1,0,0,0,0
201202,2012,2,102495740138,1,0,0,0,0
201207,2012,7,102485738043,1,0,0,1,0
201210,2012,10,102495740138,1,0,1,0,0
201112,2011,12,102495740138,1,0,1,0,0
201205,2012,5,102402924900,1,0,0,0,0
201202,2012,2,102402924900,1,0,0,0,0
201210,2012,10,102501093605,1,0,0,0,0
201202,2012,2,102501093605,1,0,1,0,1
201206,2012,6,107608780970,2,0,2,0,0
201210,2012,10,107608780970,1,0,1,0,0
201210,2012,10,107612496762,1,0,2,0,0
201209,2012,9,107612496762,1,0,0,0,0
201207,2012,7,107608780970,1,0,0,0,0
201207,2012,7,107613978859,1,0,0,0,0
201207,2012,7,107569500991,1,0,0,0,0
201208,2012,8,107613978859,16,0,0,0,0
201208,2012,8,107614623704,2,0,1,0,0
201208,2012,8,107630511513,1,0,1,0,0
201111,2011,11,102427082493,2,0,2,0,0
201207,2012,7,107572014908,1,0,0,0,0
201208,2012,8,107571070052,2,0,1,0,0
201207,2012,7,107607396978,1,0,0,0,0
201205,2012,5,107571070052,7,0,1,0,0
201210,2012,10,107609448946,1,0,1,0,0
201204,2012,4,107571070052,1,0,0,0,0
201206,2012,6,107571070052,1,0,3,0,0
201111,2011,11,102409672027,1,0,1,0,0
201201,2012,1,102410027607,1,0,0,0,0
201202,2012,2,102410027607,1,0,4,0,1
201207,2012,7,102409672027,1,0,1,0,0
201208,2012,8,107605850189,1,0,0,0,0
201206,2012,6,102427170530,2,0,4,1,0
201206,2012,6,107605850189,5,0,2,0,0
201209,2012,9,102409672027,1,1,0,0,0
201205,2012,5,102410027607,1,0,0,0,0
201209,2012,9,102410027607,2,0,0,0,0
201201,2012,1,102409672027,3,0,2,0,0
201112,2011,12,102409672027,28,0,0,0,0
201112,2011,12,102410027607,3,0,0,0,0
201210,2012,10,102409647874,1,0,0,0,0
201112,2011,12,102395224612,3,0,1,1,0
201207,2012,7,102395224612,1,0,0,0,0
201203,2012,3,102373215636,1,0,1,0,0
201204,2012,4,102373215636,2,0,3,0,0
201112,2011,12,102412733410,8,0,0,0,0
201205,2012,5,102382485550,2,0,1,0,0
201209,2012,9,102382485550,1,0,1,0,0
201202,2012,2,102395544618,1,0,1,0,0
201204,2012,4,102395544618,4,0,0,0,0
201111,2011,11,102395224612,2,0,0,0,0
201210,2012,10,102836011200,4,0,0,0,3
201205,2012,5,102817839678,1,0,0,0,0
201206,2012,6,102841670166,4,0,0,0,0
201209,2012,9,107647440702,1,1,0,0,0
201201,2012,1,102422273722,1,0,0,0,0
201210,2012,10,107647440702,1,0,0,0,0
201111,2011,11,102422273722,9,0,13,1,0
201209,2012,9,102259423981,2,1,0,0,0
201207,2012,7,102390965440,22,0,0,0,0
201201,2012,1,102392237353,1,0,1,0,0
201201,2012,1,102121962067,1,0,1,0,0
201205,2012,5,102366549140,5,0,5,0,0
201209,2012,9,102366549140,1,0,1,0,0
201201,2012,1,102371175499,1,0,0,0,0
201205,2012,5,107570340970,2,0,0,0,0
201208,2012,8,107628063111,2,0,2,0,0
201207,2012,7,107628063111,1,1,0,0,0
201208,2012,8,107631349316,4,0,2,0,0
201210,2012,10,102406637556,2,0,0,0,0
201210,2012,10,102407014805,1,0,1,0,0
201112,2011,12,102407542680,1,0,0,0,0
201206,2012,6,102407542680,3,0,0,0,0
201210,2012,10,102407542680,1,0,0,0,0
201203,2012,3,102407014805,1,0,1,1,0
201205,2012,5,102407014805,4,0,0,0,0
201208,2012,8,102407542680,1,0,0,0,0
201111,2011,11,102407542680,1,0,0,0,0
201207,2012,7,102409373425,1,1,1,0,0
201207,2012,7,102841670166,1,0,1,0,0
201201,2012,1,102817839678,4,0,0,0,0
201202,2012,2,102817839678,1,0,0,0,0
201210,2012,10,102395224612,2,0,2,0,0
201206,2012,6,102395544618,2,0,0,0,0
201205,2012,5,102395224612,1,0,1,0,0
201209,2012,9,102395224612,3,0,2,0,0
201203,2012,3,102390308706,3,0,1,0,0
201203,2012,3,102395224612,1,0,0,0,0
201208,2012,8,102395224612,3,0,0,0,0
201112,2011,12,102252755941,1,0,0,0,0
201201,2012,1,102252755941,3,0,3,0,0
201204,2012,4,107555498006,1,0,0,0,0
201206,2012,6,102395224612,1,0,0,0,0
201204,2012,4,102495740138,4,0,1,0,0
201111,2011,11,102404039710,1,0,0,0,0
201111,2011,11,102404041894,1,0,1,0,0
201207,2012,7,102404039710,2,0,2,0,0
201205,2012,5,102430380587,3,0,0,0,0
201208,2012,8,102366549140,6,0,0,0,0
201209,2012,9,107628752307,3,0,0,0,0
201207,2012,7,107628752307,1,0,0,0,0
201208,2012,8,107626180410,1,0,1,0,0
201202,2012,2,102476949608,1,0,2,0,0
201209,2012,9,107601423094,1,0,0,0,0
201206,2012,6,102407293366,1,0,0,0,0
201305,2013,5,107180238330,1,0,0,0,0
201301,2013,1,102599014963,5,0,4,1,0
201209,2012,9,107628063111,1,0,0,0,0
201201,2012,1,102500288732,2,0,1,0,0
201111,2011,11,102500326042,2,0,1,0,0
201210,2012,10,107619955701,1,0,1,0,0
201201,2012,1,102372813909,1,0,0,0,0
201202,2012,2,102372813909,1,0,0,0,0
201112,2011,12,102394356961,1,0,1,0,0
201112,2011,12,102395623482,2,0,2,0,0
201201,2012,1,102395623482,6,0,0,0,0
201203,2012,3,102341650392,1,0,0,0,0
201205,2012,5,102390927243,2,1,0,0,0
201205,2012,5,102392639301,1,0,1,0,0
201206,2012,6,102395537280,1,0,1,0,0
201206,2012,6,102429661580,2,0,1,1,0
201203,2012,3,102429661580,1,0,1,0,0
201204,2012,4,102508926089,1,1,0,0,0
201201,2012,1,102429661580,1,0,0,0,0
201201,2012,1,102403682303,1,0,1,0,0
201201,2012,1,102404107587,2,0,0,0,0
201206,2012,6,102877086657,2,0,2,0,0
201210,2012,10,102878410002,7,0,5,1,0
201201,2012,1,102330276545,1,0,0,0,0
201201,2012,1,102331518973,2,0,1,0,0
201202,2012,2,102331518973,2,0,0,0,0
201206,2012,6,102390321718,1,0,0,0,0
201208,2012,8,102390321718,1,0,1,0,0
201203,2012,3,102337009965,1,0,0,0,0
201208,2012,8,107645199811,1,0,0,0,0
201209,2012,9,107645199811,6,0,0,0,0
201204,2012,4,107555437944,1,0,0,0,0
201207,2012,7,102397423238,2,0,1,0,0
201207,2012,7,102337009965,1,0,0,0,0
201204,2012,4,102363758416,2,0,0,0,0
201111,2011,11,102486210580,2,0,0,0,0
201206,2012,6,102380379306,74,0,13,0,0
201207,2012,7,102486210580,8,0,15,0,0
201208,2012,8,102405006397,1,0,1,0,0
201112,2011,12,102363758416,1,0,0,0,0
201206,2012,6,102363758416,3,1,3,0,0
201205,2012,5,102405701507,8,0,8,0,0
201112,2011,12,102830330128,5,0,3,0,0
201206,2012,6,102870413277,4,0,2,0,0
201209,2012,9,102372259838,2,0,2,0,0
201209,2012,9,102372809530,1,0,0,0,0
201208,2012,8,102372259838,6,0,6,1,1
201205,2012,5,102390925178,1,0,0,0,0
