renewal_date,status,SAID,Chan.Prof
20130524,Loss,101771768541,Indirect
20130601,Loss,101771793504,Indirect
20130601,Loss,101771870653,Direct
20130601,Converted,101771860778,Direct
20130601,Loss,101772017475,Direct
20130801,Loss,101775616874,Direct
20130701,Loss,101772260106,Indirect
20130701,Loss,101773595205,Indirect
20130601,Loss,101773699324,Indirect
20130701,Loss,101774074721,Indirect
20130701,Loss,101774251459,Indirect
20130501,Loss,101774539574,Indirect
20130601,Loss,101774615200,Direct
20130701,Loss,101774413749,Indirect
20130601,Loss,101774425630,Indirect
20130701,Loss,101774429070,Direct
20130601,Converted,101774410780,Indirect
20130515,Loss,101775719290,Indirect
20130601,Loss,101775169719,Indirect
20130701,Loss,101775620143,Direct
20130701,Converted,101775639243,Indirect
20130701,Converted,101775651362,Indirect
20130515,Loss,101775791382,Indirect
20130801,Loss,101776126630,Indirect
20130701,Loss,101776190408,Direct
20130701,Converted,101776385856,Direct
20130601,Loss,101776703180,Indirect
20130601,Loss,101776918465,Direct
20130701,Loss,101776984522,Indirect
20130701,Loss,101777002900,Direct
20130701,Loss,101777124075,Direct
20130601,Loss,101777818688,Indirect
20130701,Loss,101777988404,Direct
20130601,Loss,101778039727,Indirect
20130401,Loss,101778244775,Direct
20130401,Loss,101778273009,Direct
20130701,Loss,101778694001,Indirect
20130701,Loss,101778730850,Indirect
20130701,Loss,101778883423,Direct
20130701,Loss,101778927706,Indirect
20130707,Converted,101779979013,Indirect
20130701,Loss,101780036242,Direct
20130701,Loss,101780045465,Direct
20130601,Loss,101780054398,Direct
20130701,Loss,101780062104,Direct
20130701,Loss,101780046418,Direct
20130801,Loss,101780098160,Direct
20130601,Loss,101780576955,Direct
20130601,Loss,101781007350,Direct
20130401,Loss,101782030858,Direct
20130615,Loss,101781124480,Direct
20130601,Loss,101781334562,Indirect
20130701,Loss,101781371646,Direct
20130601,Loss,101781693137,Indirect
20130601,Loss,101781858555,Indirect
20130701,Loss,101782069369,Direct
20130701,Loss,101781915900,Indirect
20130701,Loss,101781918808,Indirect
20130601,Loss,101781921118,Indirect
20130601,Loss,101781923933,Indirect
20130501,Loss,101782031450,Direct
20130501,Converted,101750454158,Direct
20130501,Loss,101782031740,Direct
20130701,Loss,107325531874,Indirect
20130701,Loss,101782587035,Indirect
20130701,Loss,101782730515,Direct
20130701,Loss,101782724940,Direct
20130501,Loss,101783705123,Direct
20130701,Loss,101785100909,Indirect
20130701,Loss,101786275723,Indirect
20130701,Loss,101786347210,Indirect
20130701,Converted,101786350057,Indirect
20130701,Loss,101786320470,Indirect
20130701,Loss,101786355310,Indirect
20130701,Converted,101786352122,Indirect
20130701,Converted,101786361115,Direct
20130701,Loss,101786361345,Indirect
20130701,Loss,101786369217,Direct
20130701,Converted,101786496163,Indirect
20130320,Loss,101787880455,Indirect
20130801,Loss,101781693137,Indirect
20130701,Loss,107325999011,Indirect
20130701,Loss,101788729520,Direct
20130701,Loss,101788751174,Direct
20130701,Converted,101788750571,Indirect
20130701,Converted,101789172700,Indirect
20130701,Converted,101789341277,Indirect
20130801,Converted,101789380202,Direct
20130701,Loss,101789546677,Direct
20130801,Loss,101789547406,Indirect
20130701,Loss,101790508093,Indirect
20130801,Loss,101791177907,Indirect
20130801,Loss,101791311004,Direct
20130701,Loss,101791338894,Indirect
20130801,Loss,101791555893,Direct
20130601,Loss,101832377523,Direct
20130801,Loss,101792504254,Indirect
20130601,Loss,101792889656,Direct
20130801,Loss,101792728462,Indirect
20130801,Loss,101792728522,Indirect
20130801,Loss,101792757216,Direct
20130701,Loss,101792759008,Direct
20130801,Loss,101792764943,Direct
20130801,Loss,101792769917,Direct
20130701,Loss,101792770228,Direct
20130701,Loss,101792773126,Direct
20130625,Loss,101793653068,Direct
20130701,Loss,101793674461,Direct
20130701,Loss,101793682911,Direct
20130801,Converted,101794400607,Direct
20130801,Loss,101795234849,Direct
20130701,Loss,101795247562,Indirect
20130801,Converted,101792498996,Indirect
20130801,Loss,101795434175,Indirect
20130801,Loss,101795718850,Indirect
20130801,Loss,101796556940,Indirect
20130801,Loss,101796575819,Direct
20130801,Loss,101796573163,Direct
20130801,Loss,101797040279,Direct
20130801,Loss,101797325326,Direct
20130801,Loss,101797429801,Direct
20130801,Converted,101797590703,Direct
20130701,Loss,101797599331,Indirect
20130701,Converted,101797597786,Indirect
20130701,Loss,101797599911,Indirect
20130701,Loss,101797607935,Indirect
20130801,Converted,101797616638,Direct
20130801,Loss,101797614562,Indirect
20130701,Loss,101797638284,Indirect
20130801,Loss,101797619996,Indirect
20130701,Loss,101797631201,Indirect
20130801,Loss,101797632548,Direct
20130501,Loss,101797685763,Direct
20130801,Loss,101797649052,Direct
20130801,Loss,101797649282,Indirect
20130401,Converted,101798305656,Direct
20130401,Loss,101798321566,Direct
20130801,Loss,101797865689,Direct
20130801,Loss,101798121880,Indirect
20130801,Converted,101798595861,Indirect
20130801,Loss,101798747006,Direct
20130801,Loss,101673766153,Direct
20130801,Converted,101798807932,Direct
20130801,Loss,101799695760,Indirect
20130801,Loss,101800084881,Direct
20130801,Loss,101800085484,Direct
20130801,Loss,101800183867,Direct
20130801,Converted,101800187138,Direct
20130801,Loss,101800191447,Indirect
20130701,Loss,101800724636,Direct
20130801,Loss,101801071389,Direct
20130801,Loss,101801493268,Indirect
20130801,Loss,101801535239,Direct
